species,trait,value,source,val_num
hippoglossina stomata,age_mat,1-5yrs,vuln,NA
hippoglossus stenolepis,age_mat,1-5yrs,vuln,NA
hoplostethus atlanticus,age_mat,10-20yrs,vuln,NA
hoplostethus japonicus,age_mat,10-20yrs,vuln,NA
hoplunnis schmidti,age_mat,1-5yrs,vuln,NA
hygophum proximum,age_mat,NA,vuln,NA
hygophum proximum,age_mat,<1yr,vuln,NA
hypleurochilus bananensis,age_mat,<1yr,vuln,NA
hypsoblennius striatus,age_mat,<1yr,vuln,NA
icelinus filamentosus,age_mat,1-5yrs,vuln,NA
inimicus caledonicus,age_mat,1-5yrs,vuln,NA
katsuwonus pelamis,age_mat,1-5yrs,vuln,NA
kaupichthys brachychirus,age_mat,<1yr,vuln,NA
krefftichthys anderssoni,age_mat,<1yr,vuln,NA
laeops cypho,age_mat,1-5yrs,vuln,NA
laeops guentheri,age_mat,<1yr,vuln,NA
laeops kitaharae,age_mat,1-5yrs,vuln,NA
lampadena pontifex,age_mat,1-5yrs,vuln,NA
lampanyctus jordani,age_mat,1-5yrs,vuln,NA
lepidotrigla kishinouyi,age_mat,<1yr,vuln,NA
lepidotrigla omanensis,age_mat,<1yr,vuln,NA
lepidotrigla venusta,age_mat,<1yr,vuln,NA
leviprora inops,age_mat,1-5yrs,vuln,NA
liparis liparis,age_mat,<1yr,vuln,NA
luciobrotula lineata,age_mat,<1yr,vuln,NA
lutjanus carponotatus,age_mat,1-5yrs,vuln,NA
lutjanus sebae,age_mat,1-5yrs,vuln,NA
lyopsetta exilis,age_mat,1-5yrs,vuln,NA
macroramphosus scolopax,age_mat,<1yr,vuln,NA
meuschenia scaber,age_mat,1-5yrs,vuln,NA
minous dempsterae,age_mat,<1yr,vuln,NA
minous quincarinatus,age_mat,<1yr,vuln,NA
molva dypterygia,age_mat,1-5yrs,vuln,NA
monomitopus agassizii,age_mat,<1yr,vuln,NA
monopenchelys acuta,age_mat,1-5yrs,vuln,NA
moringua edwardsi,age_mat,<1yr,vuln,NA
mulloidichthys dentatus,age_mat,<1yr,vuln,NA
myctophum lychnobium,age_mat,<1yr,vuln,NA
myctophum spinosum,age_mat,1-5yrs,vuln,NA
myoxocephalus tuberculatus,age_mat,1-5yrs,vuln,NA
nannobrachium gibbsi,age_mat,1-5yrs,vuln,NA
naso vlamingii,age_mat,>20yrs,vuln,NA
nectamia annularis,age_mat,<1yr,vuln,NA
nectamia fusca,age_mat,<1yr,vuln,NA
nectamia zebrina,age_mat,<1yr,vuln,NA
neobythites bimaculatus,age_mat,<1yr,vuln,NA
neobythites franzi,age_mat,<1yr,vuln,NA
neomerinthe erostris,age_mat,<1yr,vuln,NA
neomerinthe hemingwayi,age_mat,1-5yrs,vuln,NA
nessorhamphus danae,age_mat,<1yr,vuln,NA
notolabrus celidotus,age_mat,1-5yrs,vuln,NA
notopogon macrosolen,age_mat,<1yr,vuln,NA
ocosia possi,age_mat,<1yr,vuln,NA
omobranchus anolius,age_mat,<1yr,vuln,NA
omobranchus fasciolatus,age_mat,<1yr,vuln,NA
omobranchus rotundiceps,age_mat,<1yr,vuln,NA
oncorhynchus nerka,age_mat,10-20yrs,vuln,NA
ophichthus altipennis,age_mat,1-5yrs,vuln,NA
ophichthus melanoporus,age_mat,1-5yrs,vuln,NA
ophidion fulvum,age_mat,<1yr,vuln,NA
ostorhinchus compressus,age_mat,<1yr,vuln,NA
ostorhinchus doederleini,age_mat,<1yr,vuln,NA
ostorhinchus fleurieu,age_mat,<1yr,vuln,NA
ostorhinchus margaritophorus,age_mat,<1yr,vuln,NA
ostorhinchus neotes,age_mat,<1yr,vuln,NA
ostorhinchus notatus,age_mat,<1yr,vuln,NA
ostorhinchus rubrimacula,age_mat,<1yr,vuln,NA
ostorhinchus sealei,age_mat,<1yr,vuln,NA
ostorhinchus semilineatus,age_mat,<1yr,vuln,NA
ostorhinchus wassinki,age_mat,<1yr,vuln,NA
pagrus auratus,age_mat,1-5yrs,vuln,NA
parablennius parvicornis,age_mat,<1yr,vuln,NA
parablennius yatabei,age_mat,<1yr,vuln,NA
parablennius zvonimiri,age_mat,<1yr,vuln,NA
paracentropogon vespa,age_mat,<1yr,vuln,NA
paralichthodes algoensis,age_mat,1-5yrs,vuln,NA
paralichthys aestuarius,age_mat,1-5yrs,vuln,NA
paralichthys dentatus,age_mat,1-5yrs,vuln,NA
paralichthys fernandezianus,age_mat,1-5yrs,vuln,NA
paraliparis atramentatus,age_mat,<1yr,vuln,NA
paraliparis atrolabiatus,age_mat,<1yr,vuln,NA
paraliparis kreffti,age_mat,<1yr,vuln,NA
paraliparis megalopus,age_mat,<1yr,vuln,NA
paraliparis obliquosus,age_mat,<1yr,vuln,NA
paraliparis operculosus,age_mat,<1yr,vuln,NA
paraliparis orcadensis,age_mat,<1yr,vuln,NA
paraliparis plagiostomus,age_mat,<1yr,vuln,NA
paraliparis tompkinsae,age_mat,<1yr,vuln,NA
parapercis colias,age_mat,1-5yrs,vuln,NA
parenchelyurus hepburni,age_mat,<1yr,vuln,NA
parma microlepis,age_mat,1-5yrs,vuln,NA
parupeneus crassilabris,age_mat,<1yr,vuln,NA
parupeneus multifasciatus,age_mat,<1yr,vuln,NA
parupeneus posteli,age_mat,<1yr,vuln,NA
paxton concilians,age_mat,<1yr,vuln,NA
pegusa triophthalma,age_mat,1-5yrs,vuln,NA
pelotretis flavilatus,age_mat,1-5yrs,vuln,NA
percis matsuii,age_mat,<1yr,vuln,NA
peristedion amblygenys,age_mat,<1yr,vuln,NA
petrotyx sanguineus,age_mat,<1yr,vuln,NA
phycodurus eques,age_mat,<1yr,vuln,NA
platichthys flesus,age_mat,1-5yrs,vuln,NA
platycephalus indicus,age_mat,1-5yrs,vuln,NA
plectrogenium nanum,age_mat,<1yr,vuln,NA
plectropomus leopardus,age_mat,1-5yrs,vuln,NA
poecilopsetta albomaculata,age_mat,<1yr,vuln,NA
pomacentrus amboinensis,age_mat,<1yr,vuln,NA
pomacentrus coelestis,age_mat,<1yr,vuln,NA
pontinus macrocephalus,age_mat,1-5yrs,vuln,NA
porichthys oculellus,age_mat,<1yr,vuln,NA
porichthys oculofrenum,age_mat,1-5yrs,vuln,NA
porocephalichthys dasyrhynchus,age_mat,<1yr,vuln,NA
praealticus dayi,age_mat,<1yr,vuln,NA
prognatholiparis ptychomandibularis,age_mat,<1yr,vuln,NA
protomyctophum luciferum,age_mat,<1yr,vuln,NA
psednos andriashevi,age_mat,<1yr,vuln,NA
psednos harteli,age_mat,<1yr,vuln,NA
psettina hainanensis,age_mat,<1yr,vuln,NA
pterois lunulata,age_mat,1-5yrs,vuln,NA
pterygotrigla hemisticta,age_mat,1-5yrs,vuln,NA
pycnocraspedum squamipinne,age_mat,<1yr,vuln,NA
pyramodon lindas,age_mat,<1yr,vuln,NA
rexea solandri,age_mat,1-5yrs,vuln,NA
rhabdosargus sarba,age_mat,1-5yrs,vuln,NA
rhinomuraena quaesita,age_mat,1-5yrs,vuln,NA
rhombosolea plebeia,age_mat,<1yr,vuln,NA
ricuzenius nudithorax,age_mat,<1yr,vuln,NA
salarias ceramensis,age_mat,<1yr,vuln,NA
salarias fasciatus,age_mat,<1yr,vuln,NA
salarias sinuosus,age_mat,<1yr,vuln,NA
samariscus filipectoralis,age_mat,<1yr,vuln,NA
samariscus huysmani,age_mat,<1yr,vuln,NA
saurenchelys fierasfer,age_mat,<1yr,vuln,NA
saurenchelys meteori,age_mat,<1yr,vuln,NA
scarus schlegeli,age_mat,1-5yrs,vuln,NA
scorpaena azorica,age_mat,<1yr,vuln,NA
scorpaena hatizyoensis,age_mat,<1yr,vuln,NA
scorpaenodes hirsutus,age_mat,<1yr,vuln,NA
scorpaenodes quadrispinosus,age_mat,<1yr,vuln,NA
scorpaenopsis altirostris,age_mat,<1yr,vuln,NA
sebastes cortezi,age_mat,5-10yrs,vuln,NA
sebastes diploproa,age_mat,1-5yrs,vuln,NA
sebastes koreanus,age_mat,<1yr,vuln,NA
sebastes mentella,age_mat,5-10yrs,vuln,NA
sebastes nivosus,age_mat,5-10yrs,vuln,NA
sebastes peduncularis,age_mat,5-10yrs,vuln,NA
serrivomer lanceolatoides,age_mat,1-5yrs,vuln,NA
simenchelys parasitica,age_mat,1-5yrs,vuln,NA
siokunichthys nigrolineatus,age_mat,<1yr,vuln,NA
skythrenchelys zabra,age_mat,<1yr,vuln,NA
spratelloides delicatulus,age_mat,<1yr,vuln,NA
stelgistrum beringianum,age_mat,<1yr,vuln,NA
stygnobrotula latebricola,age_mat,<1yr,vuln,NA
sympterichthys politus,age_mat,1-5yrs,vuln,NA
synaphobranchus affinis,age_mat,1-5yrs,vuln,NA
synaphobranchus kaupii,age_mat,1-5yrs,vuln,NA
synaphobranchus oregoni,age_mat,1-5yrs,vuln,NA
synclidopus macleayanus,age_mat,1-5yrs,vuln,NA
syngnathus floridae,age_mat,<1yr,vuln,NA
taeniamia buruensis,age_mat,<1yr,vuln,NA
tetraroge barbata,age_mat,<1yr,vuln,NA
thalassobathia pelagica,age_mat,<1yr,vuln,NA
thunnus maccoyii,age_mat,1-5yrs,vuln,NA
trachinotus goodei,age_mat,1-5yrs,vuln,NA
trachinotus rhodopus,age_mat,1-5yrs,vuln,NA
triglops forficatus,age_mat,1-5yrs,vuln,NA
uropterygius fuscoguttatus,age_mat,1-5yrs,vuln,NA
uropterygius wheeleri,age_mat,1-5yrs,vuln,NA
vanacampus vercoi,age_mat,<1yr,vuln,NA
venefica tentaculata,age_mat,<1yr,vuln,NA
xenomystax trucidans,age_mat,<1yr,vuln,NA
xestochilus nebulosus,age_mat,1-5yrs,vuln,NA
zanclorhynchus spinifer,age_mat,<1yr,vuln,NA
zebrias crossolepis,age_mat,<1yr,vuln,NA
zesticelus bathybius,age_mat,<1yr,vuln,NA
balaena mysticetus,age_mat,10-20yrs,vuln,NA
balaenoptera acutorostrata,age_mat,5-10yrs,vuln,NA
balaenoptera bonaerensis,age_mat,5-10yrs,vuln,NA
balaenoptera borealis,age_mat,>20yrs,vuln,NA
balaenoptera brydei,age_mat,10-20yrs,vuln,NA
balaenoptera edeni,age_mat,10-20yrs,vuln,NA
balaenoptera musculus,age_mat,1-5yrs,vuln,NA
balaenoptera physalus,age_mat,5-10yrs,vuln,NA
berardius bairdii,age_mat,5-10yrs,vuln,NA
berardius bairdii,age_mat,10-20yrs,vuln,NA
caperea marginata,age_mat,NA,vuln,NA
cephalorhynchus hectori,age_mat,5-10yrs,vuln,NA
delphinapterus leucas,age_mat,5-10yrs,vuln,NA
dugong dugon,age_mat,5-10yrs,vuln,NA
enhydra lutris,age_mat,1-5yrs,vuln,NA
eschrichtius robustus,age_mat,>20yrs,vuln,NA
eubalaena australis,age_mat,5-10yrs,vuln,NA
eubalaena glacialis,age_mat,5-10yrs,vuln,NA
eubalaena japonica,age_mat,10-20yrs,vuln,NA
feresa attenuata,age_mat,NA,vuln,NA
grampus griseus,age_mat,5-10yrs,vuln,NA
hyperoodon ampullatus,age_mat,5-10yrs,vuln,NA
indopacetus pacificus,age_mat,NA,vuln,NA
kogia breviceps,age_mat,1-5yrs,vuln,NA
lagenodelphis hosei,age_mat,5-10yrs,vuln,NA
lagenorhynchus acutus,age_mat,5-10yrs,vuln,NA
lagenorhynchus acutus,age_mat,10-20yrs,vuln,NA
lissodelphis borealis,age_mat,5-10yrs,vuln,NA
megaptera novaeangliae,age_mat,1-5yrs,vuln,NA
mesoplodon bidens,age_mat,5-10yrs,vuln,NA
mesoplodon densirostris,age_mat,5-10yrs,vuln,NA
mesoplodon europaeus,age_mat,5-10yrs,vuln,NA
mesoplodon mirus,age_mat,NA,vuln,NA
mesoplodon stejnegeri,age_mat,NA,vuln,NA
monodon monoceros,age_mat,5-10yrs,vuln,NA
odobenus rosmarus,age_mat,5-10yrs,vuln,NA
orcinus orca,age_mat,10-20yrs,vuln,NA
peponocephala electra,age_mat,5-10yrs,vuln,NA
phocoena sinus,age_mat,1-5yrs,vuln,NA
physeter macrocephalus,age_mat,5-10yrs,vuln,NA
pseudorca crassidens,age_mat,5-10yrs,vuln,NA
stenella clymene,age_mat,1-5yrs,vuln,NA
stenella clymene,age_mat,5-10yrs,vuln,NA
stenella frontalis,age_mat,5-10yrs,vuln,NA
stenella frontalis,age_mat,10-20yrs,vuln,NA
steno bredanensis,age_mat,5-10yrs,vuln,NA
trichechus manatus,age_mat,1-5yrs,vuln,NA
trichechus senegalensis,age_mat,1-5yrs,vuln,NA
tursiops truncatus,age_mat,5-10yrs,vuln,NA
tursiops truncatus,age_mat,10-20yrs,vuln,NA
ursus maritimus,age_mat,1-5yrs,vuln,NA
ziphius cavirostris,age_mat,10-20yrs,vuln,NA
acesta excavata,age_mat,NA,vuln,NA
adamussium colbecki,age_mat,1-5yrs,vuln,NA
aeolidia papillosa,age_mat,1-5yrs,vuln,NA
anadara trapezia,age_mat,1-5yrs,vuln,NA
aplysia californica,age_mat,1-5yrs,vuln,NA
aplysia vaccaria,age_mat,1-5yrs,vuln,NA
argopecten irradians,age_mat,1-5yrs,vuln,NA
austrocochlea porcata,age_mat,1-5yrs,vuln,NA
bankia setacea,age_mat,NA,vuln,NA
cadlina luteomarginata,age_mat,1-5yrs,vuln,NA
calliostoma ligatum,age_mat,1-5yrs,vuln,NA
cellana tramoserica,age_mat,1-5yrs,vuln,NA
cerastoderma edule,age_mat,1-5yrs,vuln,NA
crassostrea virginica,age_mat,1-5yrs,vuln,NA
haliotis coccoradiata,age_mat,1-5yrs,vuln,NA
haliotis kamtschatkana,age_mat,1-5yrs,vuln,NA
haliotis rubra,age_mat,1-5yrs,vuln,NA
lottia scutum,age_mat,1-5yrs,vuln,NA
lunella undulata,age_mat,1-5yrs,vuln,NA
magallana gigas,age_mat,1-5yrs,vuln,NA
magallana hongkongensis,age_mat,1-5yrs,vuln,NA
mimachlamys asperrima,age_mat,1-5yrs,vuln,NA
mytilus californianus,age_mat,1-5yrs,vuln,NA
mytilus edulis,age_mat,1-5yrs,vuln,NA
mytilus galloprovincialis,age_mat,1-5yrs,vuln,NA
mytilus trossulus,age_mat,1-5yrs,vuln,NA
ostrea angasi,age_mat,1-5yrs,vuln,NA
ostrea edulis,age_mat,1-5yrs,vuln,NA
ostrea lurida,age_mat,1-5yrs,vuln,NA
panopea generosa,age_mat,NA,vuln,NA
pecten fumatus,age_mat,1-5yrs,vuln,NA
pecten maximus,age_mat,1-5yrs,vuln,NA
pinna bicolor,age_mat,NA,vuln,NA
plebidonax deltoides,age_mat,NA,vuln,NA
rochia nilotica,age_mat,1-5yrs,vuln,NA
saccostrea glomerata,age_mat,1-5yrs,vuln,NA
siliqua patula,age_mat,NA,vuln,NA
tegula funebralis,age_mat,1-5yrs,vuln,NA
tenguella marginalba,age_mat,1-5yrs,vuln,NA
trichomya hirsuta,age_mat,1-5yrs,vuln,NA
tridacna gigas,age_mat,1-5yrs,vuln,NA
tridacna maxima,age_mat,1-5yrs,vuln,NA
turbo militaris,age_mat,1-5yrs,vuln,NA
amblyrhynchus cristatus,age_mat,1-5yrs,vuln,NA
caretta caretta,age_mat,>20yrs,vuln,NA
chelonia mydas,age_mat,>20yrs,vuln,NA
dermochelys coriacea,age_mat,10-20yrs,vuln,NA
eretmochelys imbricata,age_mat,>20yrs,vuln,NA
lepidochelys kempii,age_mat,10-20yrs,vuln,NA
lepidochelys olivacea,age_mat,10-20yrs,vuln,NA
natator depressa,age_mat,>20yrs,vuln,NA
antedon mediterranea,age_mat,NA,vuln,NA
aporometra wilsoni,age_mat,NA,vuln,NA
chanos chanos,age_mat,NA,vuln,NA
coloconger japonicus,age_mat,NA,vuln,NA
florometra serratissima,age_mat,NA,vuln,NA
leptocharias smithii,age_mat,NA,vuln,NA
megachasma pelagios,age_mat,NA,vuln,NA
mitsukurina owstoni,age_mat,NA,vuln,NA
stegostoma fasciatum,age_mat,NA,vuln,NA
abdopus capricornicus,age_mat,<1yr,vuln,NA
abralia (abralia) armata,age_mat,<1yr,vuln,NA
abralia (abralia) multihamata,age_mat,<1yr,vuln,NA
abralia (abralia) renschi,age_mat,<1yr,vuln,NA
abralia (abralia) spaercki,age_mat,<1yr,vuln,NA
abralia (abralia) steindachneri,age_mat,<1yr,vuln,NA
abralia (asteroteuthis) veranyi,age_mat,<1yr,vuln,NA
abralia (astrabralia) astrosticta,age_mat,<1yr,vuln,NA
abralia (enigmoteuthis) dubia,age_mat,<1yr,vuln,NA
abralia (enigmoteuthis) fasciolata,age_mat,<1yr,vuln,NA
abralia (enigmoteuthis) marisarabica,age_mat,<1yr,vuln,NA
abralia (heterabralia) andamanica,age_mat,<1yr,vuln,NA
abralia (heterabralia) heminuchalis,age_mat,<1yr,vuln,NA
abralia (heterabralia) robsoni,age_mat,<1yr,vuln,NA
abralia (heterabralia) siedleckyi,age_mat,<1yr,vuln,NA
abralia (heterabralia) trigonura,age_mat,<1yr,vuln,NA
abralia (pygmabralia) grimpei,age_mat,<1yr,vuln,NA
abralia (pygmabralia) omiae,age_mat,<1yr,vuln,NA
abralia (pygmabralia) redfieldi,age_mat,<1yr,vuln,NA
abralia (pygmabralia) similis,age_mat,<1yr,vuln,NA
abralia andamanica,age_mat,<1yr,vuln,NA
abralia astrolineata,age_mat,<1yr,vuln,NA
abralia astrosticta,age_mat,<1yr,vuln,NA
abralia heminuchalis,age_mat,<1yr,vuln,NA
abralia redfieldi,age_mat,<1yr,vuln,NA
abralia veranyi,age_mat,<1yr,vuln,NA
abraliopsis (abraliopsis) hoylei,age_mat,<1yr,vuln,NA
abraliopsis (abraliopsis) morisii,age_mat,<1yr,vuln,NA
abraliopsis (abraliopsis) pacificus,age_mat,<1yr,vuln,NA
abraliopsis (boreabraliopsis) felis,age_mat,<1yr,vuln,NA
abraliopsis (micrabralia) lineata,age_mat,<1yr,vuln,NA
abraliopsis (pfefferiteuthis) affinis,age_mat,<1yr,vuln,NA
abraliopsis (pfefferiteuthis) atlantica,age_mat,<1yr,vuln,NA
abraliopsis (pfefferiteuthis) chuni,age_mat,<1yr,vuln,NA
abraliopsis (pfefferiteuthis) falco,age_mat,<1yr,vuln,NA
abraliopsis atlantica,age_mat,<1yr,vuln,NA
abraliopsis felis,age_mat,<1yr,vuln,NA
abraliopsis gilchristi,age_mat,<1yr,vuln,NA
abraliopsis hoylei,age_mat,<1yr,vuln,NA
abraliopsis morisii,age_mat,<1yr,vuln,NA
abraliopsis pfefferi,age_mat,<1yr,vuln,NA
abraliopsis tui,age_mat,<1yr,vuln,NA
allonautilus scrobiculatus,age_mat,10-20yrs,vuln,NA
alloteuthis africana,age_mat,1-5yrs,vuln,NA
alloteuthis media,age_mat,1-5yrs,vuln,NA
alloteuthis subulata,age_mat,1-5yrs,vuln,NA
amphorateuthis alveatus,age_mat,<1yr,vuln,NA
argonauta argo,age_mat,<1yr,vuln,NA
argonauta cornuta,age_mat,<1yr,vuln,NA
argonauta hians,age_mat,<1yr,vuln,NA
argonauta nodosus,age_mat,<1yr,vuln,NA
argonauta nouryi,age_mat,<1yr,vuln,NA
argonauta oweri,age_mat,<1yr,vuln,NA
argonauta pacifica,age_mat,<1yr,vuln,NA
asperoteuthis acanthoderma,age_mat,<1yr,vuln,NA
asperoteuthis lui,age_mat,<1yr,vuln,NA
asperoteuthis mangoldae,age_mat,<1yr,vuln,NA
austrorossia antillensis,age_mat,<1yr,vuln,NA
austrorossia australis,age_mat,<1yr,vuln,NA
austrorossia bipapillata,age_mat,<1yr,vuln,NA
austrorossia enigmatica,age_mat,<1yr,vuln,NA
austrorossia mastigophora,age_mat,<1yr,vuln,NA
berryteuthis anonychus,age_mat,1-5yrs,vuln,NA
berryteuthis magister,age_mat,1-5yrs,vuln,NA
brachioteuthis beanii,age_mat,<1yr,vuln,NA
brachioteuthis behnii,age_mat,<1yr,vuln,NA
brachioteuthis bowmani,age_mat,<1yr,vuln,NA
brachioteuthis linkovskyi,age_mat,<1yr,vuln,NA
brachioteuthis picta,age_mat,<1yr,vuln,NA
brachioteuthis riisei,age_mat,<1yr,vuln,NA
callistoctopus bunurong,age_mat,<1yr,vuln,NA
chiroteuthis calyx,age_mat,<1yr,vuln,NA
chiroteuthis imperator,age_mat,<1yr,vuln,NA
chiroteuthis joubini,age_mat,<1yr,vuln,NA
chiroteuthis mega,age_mat,<1yr,vuln,NA
chiroteuthis picteti,age_mat,<1yr,vuln,NA
chiroteuthis spoeli,age_mat,<1yr,vuln,NA
chiroteuthis veranii,age_mat,<1yr,vuln,NA
chiroteuthis veranyi,age_mat,<1yr,vuln,NA
cycloteuthis akimushkini,age_mat,<1yr,vuln,NA
cycloteuthis sirventi,age_mat,<1yr,vuln,NA
discoteuthis discus,age_mat,<1yr,vuln,NA
discoteuthis laciniosa,age_mat,<1yr,vuln,NA
doryteuthis (amerigo) gahi,age_mat,<1yr,vuln,NA
doryteuthis (amerigo) ocula,age_mat,<1yr,vuln,NA
doryteuthis (amerigo) opalescens,age_mat,<1yr,vuln,NA
doryteuthis (amerigo) pealeii,age_mat,<1yr,vuln,NA
doryteuthis (amerigo) surinamensis,age_mat,<1yr,vuln,NA
doryteuthis (doryteuthis) pleii,age_mat,<1yr,vuln,NA
doryteuthis (doryteuthis) roperi,age_mat,<1yr,vuln,NA
doryteuthis gahi,age_mat,<1yr,vuln,NA
doryteuthis ocula,age_mat,<1yr,vuln,NA
doryteuthis opalescens,age_mat,<1yr,vuln,NA
doryteuthis pealeii,age_mat,<1yr,vuln,NA
doryteuthis pleii,age_mat,<1yr,vuln,NA
doryteuthis roperi,age_mat,<1yr,vuln,NA
doryteuthis sanpaulensis,age_mat,<1yr,vuln,NA
eledone caparti,age_mat,1-5yrs,vuln,NA
eledone cirrhosa,age_mat,1-5yrs,vuln,NA
eledone gaucha,age_mat,1-5yrs,vuln,NA
eledone massyae,age_mat,1-5yrs,vuln,NA
eledone moschata,age_mat,1-5yrs,vuln,NA
eledone palari,age_mat,1-5yrs,vuln,NA
eledone schultzei,age_mat,1-5yrs,vuln,NA
enoploteuthis anapsis,age_mat,<1yr,vuln,NA
enoploteuthis chunii,age_mat,<1yr,vuln,NA
enoploteuthis galaxias,age_mat,<1yr,vuln,NA
enoploteuthis higginsi,age_mat,<1yr,vuln,NA
enoploteuthis jonesi,age_mat,<1yr,vuln,NA
enoploteuthis leptura,age_mat,<1yr,vuln,NA
enoploteuthis magnoceani,age_mat,<1yr,vuln,NA
enoploteuthis obliqua,age_mat,<1yr,vuln,NA
enoploteuthis octolineata,age_mat,<1yr,vuln,NA
enoploteuthis reticulata,age_mat,<1yr,vuln,NA
enoploteuthis semilineata,age_mat,<1yr,vuln,NA
euaxoctopus panamensis,age_mat,<1yr,vuln,NA
euaxoctopus pillsburyae,age_mat,<1yr,vuln,NA
euaxoctopus scalenus,age_mat,<1yr,vuln,NA
euprymna albatrossae,age_mat,<1yr,vuln,NA
euprymna berryi,age_mat,<1yr,vuln,NA
euprymna brenneri,age_mat,<1yr,vuln,NA
euprymna hoylei,age_mat,<1yr,vuln,NA
euprymna hyllebergi,age_mat,<1yr,vuln,NA
euprymna megaspadicea,age_mat,<1yr,vuln,NA
euprymna morsei,age_mat,<1yr,vuln,NA
euprymna penares,age_mat,<1yr,vuln,NA
euprymna scolopes,age_mat,<1yr,vuln,NA
euprymna stenodactyla,age_mat,<1yr,vuln,NA
euprymna tasmanica,age_mat,<1yr,vuln,NA
galiteuthis armata,age_mat,<1yr,vuln,NA
galiteuthis pacifica,age_mat,<1yr,vuln,NA
galiteuthis phyllura,age_mat,<1yr,vuln,NA
galiteuthis suhmi,age_mat,<1yr,vuln,NA
gonatopsis borealis,age_mat,1-5yrs,vuln,NA
gonatopsis japonicus,age_mat,1-5yrs,vuln,NA
gonatopsis makko,age_mat,1-5yrs,vuln,NA
gonatopsis octopedatus,age_mat,1-5yrs,vuln,NA
gonatus antarcticus,age_mat,1-5yrs,vuln,NA
gonatus berryi,age_mat,1-5yrs,vuln,NA
gonatus californiensis,age_mat,1-5yrs,vuln,NA
gonatus fabricii,age_mat,1-5yrs,vuln,NA
gonatus kamtschaticus,age_mat,1-5yrs,vuln,NA
gonatus madokai,age_mat,1-5yrs,vuln,NA
gonatus middendorffi,age_mat,1-5yrs,vuln,NA
gonatus onyx,age_mat,1-5yrs,vuln,NA
gonatus oregonensis,age_mat,1-5yrs,vuln,NA
gonatus pyros,age_mat,1-5yrs,vuln,NA
gonatus steenstrupi,age_mat,1-5yrs,vuln,NA
gonatus ursabrunae,age_mat,1-5yrs,vuln,NA
grimalditeuthis bonplandii,age_mat,<1yr,vuln,NA
haliphron atlanticus,age_mat,1-5yrs,vuln,NA
hapalochlaena fasciata,age_mat,<1yr,vuln,NA
hapalochlaena maculosa,age_mat,<1yr,vuln,NA
hapalochlaena nierstraszi,age_mat,<1yr,vuln,NA
helicocranchia joubini,age_mat,<1yr,vuln,NA
helicocranchia papillata,age_mat,<1yr,vuln,NA
helicocranchia pfefferi,age_mat,<1yr,vuln,NA
heteroteuthis atlantis,age_mat,<1yr,vuln,NA
heteroteuthis dagamensis,age_mat,<1yr,vuln,NA
heteroteuthis dispar,age_mat,<1yr,vuln,NA
heteroteuthis hawaiiensis,age_mat,<1yr,vuln,NA
heteroteuthis nordopacifica,age_mat,<1yr,vuln,NA
heteroteuthis ryukyuensis,age_mat,<1yr,vuln,NA
heteroteuthis serventyi,age_mat,<1yr,vuln,NA
heteroteuthis weberi,age_mat,<1yr,vuln,NA
histioteuthis arcturi,age_mat,1-5yrs,vuln,NA
histioteuthis atlantica,age_mat,1-5yrs,vuln,NA
histioteuthis berryi,age_mat,1-5yrs,vuln,NA
histioteuthis bonnellii,age_mat,1-5yrs,vuln,NA
histioteuthis celetaria,age_mat,1-5yrs,vuln,NA
histioteuthis cerasina,age_mat,1-5yrs,vuln,NA
histioteuthis corona,age_mat,1-5yrs,vuln,NA
histioteuthis elongata,age_mat,1-5yrs,vuln,NA
histioteuthis eltaninae,age_mat,1-5yrs,vuln,NA
histioteuthis heteropsis,age_mat,1-5yrs,vuln,NA
histioteuthis inermis,age_mat,1-5yrs,vuln,NA
histioteuthis macrohista,age_mat,1-5yrs,vuln,NA
histioteuthis meleagroteuthis,age_mat,1-5yrs,vuln,NA
histioteuthis miranda,age_mat,1-5yrs,vuln,NA
histioteuthis oceani,age_mat,1-5yrs,vuln,NA
histioteuthis pacifica,age_mat,1-5yrs,vuln,NA
histioteuthis reversa,age_mat,1-5yrs,vuln,NA
histoctopus discus,age_mat,<1yr,vuln,NA
histoctopus zipkasae,age_mat,<1yr,vuln,NA
idiosepius hallami,age_mat,<1yr,vuln,NA
idiosepius minimus,age_mat,<1yr,vuln,NA
idiosepius notoides,age_mat,<1yr,vuln,NA
idiosepius paradoxus,age_mat,<1yr,vuln,NA
idiosepius picteti,age_mat,<1yr,vuln,NA
idiosepius pygmaeus,age_mat,<1yr,vuln,NA
idiosepius thailandicus,age_mat,<1yr,vuln,NA
illex argentinus,age_mat,<1yr,vuln,NA
illex coindetii,age_mat,<1yr,vuln,NA
illex illecebrosus,age_mat,<1yr,vuln,NA
illex oxygonius,age_mat,<1yr,vuln,NA
iridoteuthis iris,age_mat,<1yr,vuln,NA
iridoteuthis lophia,age_mat,<1yr,vuln,NA
iridoteuthis merlini,age_mat,<1yr,vuln,NA
leachia atlantica,age_mat,<1yr,vuln,NA
leachia cyclura,age_mat,<1yr,vuln,NA
leachia danae,age_mat,<1yr,vuln,NA
leachia dislocata,age_mat,<1yr,vuln,NA
leachia ellipsoptera,age_mat,<1yr,vuln,NA
leachia lemur,age_mat,<1yr,vuln,NA
leachia pacifica,age_mat,<1yr,vuln,NA
leachia reinhardtii,age_mat,<1yr,vuln,NA
leachia rynchophorus,age_mat,<1yr,vuln,NA
